ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription,ReferTempMax,ReferTempMin
SP-2254,Miami WH,New Orleans WH,2023-09-10 00:44:24,2023-10-17 04:50:30,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Exclusive mobile productivity,78,14
SP-2146,Nashville WH,Detroit WH,2023-09-09 01:23:05,2023-10-25 04:08:24,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Open-architected clear-thinking algorithm,56,30
SP-6604,Nashville WH,Nashville WH,2023-09-06 14:34:13,2023-10-30 20:58:20,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Devolved well-modulated orchestration,55,22
SP-5481,Atlanta WH,Nashville WH,2023-09-04 09:31:02,2023-10-14 03:33:04,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Multi-lateral multi-tasking access,89,32
SP-3617,Durham WH,Atlanta WH,2023-09-10 11:41:54,2023-10-04 20:39:22,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Organized next generation secured line,116,12
SP-7604,Miami WH,Chicago WH,2023-09-11 00:07:02,2023-10-06 14:05:07,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Robust tangible model,108,35
SP-6658,Miami WH,Detroit WH,2023-09-10 23:48:50,2023-10-09 20:01:08,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Upgradable local challenge,115,24
SP-0930,Miami WH,New Orleans WH,2023-09-03 08:14:39,2023-10-12 01:50:07,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Future-proofed zero defect productivity,95,20
SP-9611,Atlanta WH,Miami WH,2023-09-10 09:54:08,2023-10-25 19:27:05,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Horizontal real-time help-desk,74,36
SP-9778,Atlanta WH,Detroit WH,2023-09-22 13:26:37,2023-10-17 22:00:53,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Programmable bandwidth-monitored parallelism,119,27
SP-7208,New Orleans WH,New Orleans WH,2023-09-28 06:44:12,2023-10-22 18:29:45,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Adaptive discrete software,109,32
SP-7501,Detroit WH,Detroit WH,2023-09-03 18:02:56,2023-10-11 11:33:54,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Automated mobile definition,43,20
SP-7120,New Orleans WH,Miami WH,2023-09-17 17:51:38,2023-10-27 20:29:41,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Persevering incremental hierarchy,58,34
SP-1739,Detroit WH,Detroit WH,2023-09-17 03:43:13,2023-10-15 12:53:44,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Re-contextualized tangible challenge,112,35
SP-9589,Atlanta WH,Chicago WH,2023-09-16 01:08:10,2023-10-15 19:57:12,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Seamless dedicated open architecture,44,29
SP-6887,Durham WH,Nashville WH,2023-09-20 12:37:14,2023-10-04 21:32:40,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Distributed human-resource workforce,63,25
SP-0101,Durham WH,Nashville WH,2023-09-10 05:17:43,2023-10-24 12:50:41,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Multi-tiered neutral application,112,40
SP-0081,Nashville WH,Miami WH,2023-09-14 00:53:05,2023-10-20 01:22:39,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Enterprise-wide logistical application,43,24
SP-1206,Miami WH,Miami WH,2023-09-27 20:20:59,2023-10-24 18:20:35,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Programmable secondary algorithm,84,29
SP-7922,Chicago WH,Chicago WH,2023-09-25 14:25:32,2023-10-03 12:00:49,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Re-contextualized reciprocal open architecture,117,25
SP-9612,Nashville WH,Miami WH,2023-09-12 22:31:34,2023-10-08 05:58:08,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Synergistic incremental framework,100,23
SP-5639,Durham WH,Miami WH,2023-09-10 03:01:47,2023-10-19 07:30:30,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Diverse methodical knowledge base,117,42
SP-2681,Durham WH,Chicago WH,2023-09-03 15:47:17,2023-10-14 18:17:04,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Down-sized zero administration matrix,52,25
SP-0449,Miami WH,Miami WH,2023-09-25 06:52:52,2023-10-16 06:19:03,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Team-oriented disintermediate productivity,105,21
SP-2889,Chicago WH,Chicago WH,2023-09-17 07:08:13,2023-10-27 19:09:49,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Multi-channelled bandwidth-monitored forecast,94,40
