ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription
SP-4115,Soutinho,Pitkyaranta,2022-12-26 23:46:56,2022-12-16 06:27:38,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Implemented methodical hardware
SP-7785,Gryazovets,Twante,2023-08-03 15:08:29,2023-04-13 07:13:14,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Streamlined system-worthy process improvement
SP-2303,Isla Verde,Dos Quebradas,2023-05-12 08:51:35,2023-07-24 03:43:39,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Right-sized 24 hour array
SP-2222,Cikiwul Satu,Nueve de Julio,2023-09-13 04:41:07,2023-06-08 10:17:44,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Assimilated client-driven instruction set
SP-3558,Calape,Dijon,2023-09-14 17:21:47,2023-07-26 08:45:16,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Cross-group 3rd generation throughput
SP-7536,Baculongan,Novopokrovskaya,2022-12-19 12:48:19,2023-02-28 11:51:30,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Proactive system-worthy time-frame
SP-1581,Madamba,Urjala,2023-04-19 15:26:22,2023-03-22 01:07:18,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Focused dynamic local area network
SP-3015,Kuala Lumpur,Añatuya,2022-12-29 09:18:46,2022-11-24 10:37:12,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Organic discrete initiative
SP-0716,Xiaochi,Sipirok,2023-03-24 13:25:53,2023-08-05 12:48:13,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,User-friendly incremental software
SP-5116,Qiaotou,Cumanayagua,2023-02-09 16:20:15,2023-05-18 03:33:52,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Vision-oriented uniform function
SP-2711,Sarmanovo,Umi,2022-12-21 13:56:07,2022-10-28 04:01:25,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Automated interactive moderator
SP-0846,Primorsk,Aginskoye,2023-07-06 14:39:58,2023-07-21 06:05:44,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Implemented systematic middleware
SP-3348,Cantao-an,Campamento,2023-06-09 03:02:48,2023-08-12 18:22:34,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Seamless actuating functionalities
SP-7003,Asen,Artybash,2023-03-21 02:18:44,2023-08-08 19:29:44,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Profound value-added matrices
SP-9616,Wailolung,Xianghu,2023-09-12 16:15:51,2022-12-10 02:59:33,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Open-source reciprocal knowledge user
SP-3112,Mateur,Sutukoba,2023-05-27 09:47:51,2023-01-13 19:38:52,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Future-proofed global analyzer
SP-5185,Caballococha,Kobylí,2023-04-23 15:51:46,2023-02-15 18:07:34,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Vision-oriented bottom-line concept
SP-5607,Tučepi,Smyshlyayevka,2023-02-21 15:42:45,2023-03-11 10:54:51,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Devolved object-oriented neural-net
SP-6183,Skillingaryd,Gorgān,2023-04-07 16:13:10,2023-06-05 11:59:42,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Up-sized coherent model
SP-0563,Sagasa,Rostokino,2023-06-22 12:31:02,2023-07-25 19:51:28,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Profound client-driven secured line
SP-5228,Tushi,Krivyanskaya,2022-11-23 21:18:59,2023-05-29 07:19:33,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Assimilated zero administration benchmark
SP-5051,Dongyuan,San Diego,2023-06-17 02:19:47,2023-06-19 11:09:15,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Triple-buffered upward-trending middleware
SP-0498,Romanovo,San Juan de Manapiare,2023-01-12 20:55:05,2022-12-18 22:03:25,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Team-oriented intermediate adapter
SP-5222,Lubei,Tambak,2023-06-23 23:28:38,2023-06-05 11:27:59,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Reverse-engineered grid-enabled benchmark
SP-0066,Karangarjo,Tanamiting,2023-06-28 04:08:32,2023-05-21 10:49:57,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Operative hybrid protocol
SP-4998,Seshcha,Jincun,2022-12-22 03:34:04,2023-08-12 00:53:02,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Balanced executive artificial intelligence
SP-7321,Ziyang,Nanggela,2023-08-16 20:43:16,2023-09-01 06:27:45,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Vision-oriented multi-state matrices
SP-6977,Yosowilangun,Naranjo,2023-02-03 16:00:54,2022-11-15 18:44:24,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Centralized static capability
SP-0445,Dawuhanmangli,Malanay,2022-11-22 02:04:45,2023-02-21 01:54:15,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Innovative 4th generation toolset
SP-0038,Krajan,Ambato,2023-05-26 14:15:03,2023-02-19 03:56:30,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Realigned zero administration matrix
SP-0803,Qufu,Sapat,2022-11-26 07:38:05,2022-12-25 10:46:05,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Digitized empowering moratorium
SP-9809,Desa Gegempalan,Weizheng,2023-03-10 05:58:56,2023-03-13 22:28:15,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Exclusive next generation orchestration
SP-0421,Sinanju,Rondonópolis,2023-04-14 12:10:42,2023-06-10 02:45:40,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Seamless directional approach
SP-9867,Padej,Andradas,2023-06-12 11:36:46,2023-06-06 17:35:46,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Profit-focused encompassing product
SP-6086,Aldeia do Bispo,Petrokamenskoye,2023-02-25 05:10:13,2022-12-25 00:07:12,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Synergistic reciprocal core
SP-2989,Täby,Berbek,2022-10-03 11:05:10,2022-12-15 00:59:17,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Implemented background groupware
SP-3908,Yanjiang,Velká Polom,2023-08-16 20:18:26,2023-01-05 06:41:16,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Public-key encompassing synergy
SP-8308,Yuanshanzi,Pule,2023-04-08 22:14:01,2023-04-20 11:18:13,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Optional asymmetric moderator
SP-3498,Kańczuga,Memphis,2023-07-18 00:25:54,2022-12-28 18:12:18,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Devolved methodical open architecture
SP-8988,Sukarara Utara,El Rancho,2023-09-09 14:12:53,2022-10-29 03:41:14,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Multi-lateral radical matrices
