ShiptmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-0232,1,2022-07-29 17:24:33,-6.12,99.23,Celsius,Weather Station
SP-8283,2,2022-10-30 18:01:41,-49.83,91.91,Celsius,Mobile App
SP-3643,3,2022-11-09 16:14:30,0.61,9.58,Celsius,Mobile App
SP-7822,4,2022-03-25 13:32:44,-34.67,32.56,Celsius,Mobile App
SP-8317,5,2022-03-15 13:49:59,13.9,72.14,Celsius,Weather Station
SP-6177,6,2022-01-26 14:24:04,32.82,27.81,Fahrenheit,Mobile App
SP-8399,7,2022-05-01 16:31:26,4.37,19.52,Celsius,Mobile App
SP-4716,8,2022-06-24 18:01:05,-12.7,67.26,Fahrenheit,IoT Device
SP-5480,9,2022-04-10 19:42:00,-45.16,7.78,Celsius,Mobile App
SP-3909,10,2022-09-08 00:37:47,26.62,14.14,Fahrenheit,Mobile App
SP-7787,11,2022-01-25 08:38:38,-43.92,66.31,Fahrenheit,Mobile App
SP-8078,12,2022-12-23 23:48:02,-47.8,84.34,Celsius,Mobile App
SP-5970,13,2022-08-01 04:55:23,14.58,84.89,Celsius,IoT Device
SP-7816,14,2022-02-06 15:53:36,34.8,25.82,Celsius,IoT Device
SP-0283,15,2022-10-10 18:01:43,-47.12,8.63,Fahrenheit,Weather Station
SP-7578,16,2022-03-31 13:26:57,-2.63,4.11,Fahrenheit,Weather Station
SP-6759,17,2022-11-15 03:28:01,25.38,44.08,Fahrenheit,Mobile App
SP-0643,18,2022-07-04 12:23:54,5.05,24.53,Celsius,Mobile App
SP-3651,19,2022-11-08 22:57:57,26.08,5.52,Fahrenheit,IoT Device
SP-6162,20,2022-10-08 00:13:40,25.03,79.34,Fahrenheit,Weather Station
SP-0750,21,2022-01-05 04:13:29,-22.41,53.1,Fahrenheit,Weather Station
SP-4849,22,2022-02-13 02:00:32,-44.96,95.19,Celsius,IoT Device
SP-1018,23,2022-05-24 20:51:03,29.47,33.03,Celsius,Mobile App
SP-7477,24,2022-04-05 16:16:13,-6.91,22.23,Celsius,Weather Station
SP-4401,25,2022-10-31 05:45:57,-4.76,59.37,Celsius,Weather Station
SP-9336,26,2022-09-30 07:07:16,41.69,64.09,Celsius,Mobile App
SP-5529,27,2022-03-06 06:18:34,-27.21,14.59,Fahrenheit,Weather Station
SP-9901,28,2022-07-06 01:59:08,-32.49,69.59,Celsius,Mobile App
SP-7591,29,2022-11-03 08:30:14,-3.55,38.99,Fahrenheit,Mobile App
SP-6108,30,2022-08-12 18:49:54,3.39,26.05,Fahrenheit,Mobile App
SP-2861,31,2022-09-27 15:12:02,11.09,76.33,Celsius,Weather Station
SP-9045,32,2022-12-09 11:25:37,-34.9,94.95,Celsius,IoT Device
SP-4097,33,2022-12-03 07:45:27,-33.11,70.67,Fahrenheit,Weather Station
SP-0097,34,2022-04-14 00:35:25,-18.47,61.31,Celsius,Weather Station
SP-6265,35,2022-05-14 14:25:49,21.65,65.77,Celsius,Mobile App
SP-4250,36,2022-06-19 11:19:54,-14.51,58.46,Fahrenheit,IoT Device
SP-0920,37,2022-01-05 20:17:10,3.85,27.61,Fahrenheit,IoT Device
SP-1123,38,2022-10-06 22:36:20,-28.37,15.45,Fahrenheit,Weather Station
SP-6667,39,2022-04-25 05:36:00,-8.31,65.77,Fahrenheit,Mobile App
SP-5499,40,2022-04-05 04:15:07,37.11,83.37,Fahrenheit,IoT Device
SP-2434,41,2022-07-24 08:27:36,18.5,70.28,Celsius,Weather Station
SP-0700,42,2022-09-22 23:50:03,-32.19,97.67,Fahrenheit,Mobile App
SP-6778,43,2022-04-09 14:58:24,32.24,87.62,Celsius,IoT Device
SP-6278,44,2022-03-21 21:21:15,38.83,93.15,Fahrenheit,IoT Device
SP-5017,45,2022-02-26 20:21:30,31.39,38.89,Fahrenheit,Weather Station
SP-5060,46,2022-08-28 03:11:08,14.14,57.31,Fahrenheit,IoT Device
SP-0447,47,2022-11-05 05:14:54,-13.37,32.06,Fahrenheit,Mobile App
SP-6130,48,2022-03-21 15:20:34,0.91,4.43,Celsius,IoT Device
SP-2408,49,2022-11-20 07:31:47,38.6,9.72,Fahrenheit,Mobile App
SP-8186,50,2022-03-27 01:25:26,17.9,48.27,Celsius,Mobile App
SP-5591,51,2022-12-05 05:18:31,25.29,26.32,Fahrenheit,IoT Device
SP-6565,52,2022-09-13 13:55:58,-4.29,37.84,Celsius,IoT Device
SP-5167,53,2022-04-10 02:29:32,24.18,23.32,Fahrenheit,IoT Device
SP-2146,54,2022-11-16 08:34:05,41.01,80.92,Fahrenheit,Weather Station
SP-7461,55,2022-12-02 19:36:35,-43.99,63.94,Fahrenheit,IoT Device
SP-7124,56,2022-10-08 23:26:02,-27.04,38.77,Celsius,Mobile App
SP-1558,57,2022-04-16 14:40:12,-39.18,25.1,Celsius,Mobile App
SP-1137,58,2022-11-14 07:22:13,-32.8,25.99,Fahrenheit,Weather Station
SP-1381,59,2022-10-23 15:08:57,23.22,49.44,Fahrenheit,IoT Device
SP-0929,60,2022-12-24 01:44:17,3.89,91.51,Celsius,Mobile App
SP-5532,61,2022-07-21 23:18:12,28.03,0.7,Celsius,Weather Station
SP-7415,62,2022-10-04 21:53:12,9.63,30.54,Fahrenheit,Mobile App
SP-0814,63,2022-03-04 08:04:05,5.72,29.94,Celsius,Weather Station
SP-5434,64,2022-01-18 18:11:26,19.58,3.24,Celsius,Mobile App
SP-1876,65,2022-12-30 01:20:08,27.43,3.04,Fahrenheit,Mobile App
SP-4356,66,2022-05-10 13:38:10,-45.29,30.67,Celsius,IoT Device
SP-8552,67,2022-04-17 04:50:39,40.99,38.31,Fahrenheit,IoT Device
SP-4598,68,2022-11-04 22:25:23,37.37,90.64,Celsius,IoT Device
SP-2930,69,2022-10-25 10:31:07,-31.33,29.16,Fahrenheit,Weather Station
SP-8452,70,2022-06-03 04:26:45,-36.35,76.78,Celsius,Weather Station
SP-4777,71,2022-07-05 16:21:39,0.23,26.88,Celsius,Mobile App
SP-2312,72,2022-07-06 16:14:30,12.98,87.3,Fahrenheit,IoT Device
SP-4363,73,2022-06-21 22:55:54,-21.58,18.23,Fahrenheit,Weather Station
SP-1636,74,2022-10-27 13:04:30,-17.21,40.97,Celsius,IoT Device
SP-6791,75,2022-11-13 03:19:13,24.16,33.64,Celsius,IoT Device
SP-1782,76,2022-10-05 08:36:59,20.68,77.1,Fahrenheit,Weather Station
SP-4052,77,2022-11-17 03:18:38,22.85,24.6,Fahrenheit,IoT Device
SP-3254,78,2022-07-20 01:42:09,-4.01,10.31,Fahrenheit,Mobile App
SP-0325,79,2022-11-16 20:28:17,-16.26,57.29,Celsius,IoT Device
SP-6942,80,2022-07-17 05:11:20,-47.36,84.31,Celsius,Mobile App
SP-0926,81,2022-04-08 07:23:31,6.11,63.54,Fahrenheit,Mobile App
SP-5328,82,2022-08-28 04:57:15,26.69,13.68,Celsius,Weather Station
SP-9708,83,2022-02-09 14:45:16,14.52,20.96,Fahrenheit,Weather Station
SP-5964,84,2022-02-09 20:11:56,-5.74,36.93,Celsius,IoT Device
SP-7910,85,2022-07-01 13:36:54,-26.19,61.26,Fahrenheit,IoT Device
SP-0407,86,2022-02-12 16:20:04,-26.25,51.9,Celsius,Mobile App
SP-6761,87,2022-11-15 11:07:14,20.81,61.66,Fahrenheit,Weather Station
SP-8178,88,2022-06-28 00:27:38,-21.76,30.54,Celsius,Mobile App
SP-1371,89,2022-10-09 08:49:33,-26.63,90.46,Celsius,Mobile App
SP-9381,90,2022-10-02 11:43:36,41.49,56.95,Celsius,IoT Device
SP-3328,91,2022-08-13 22:13:32,36.67,90.4,Fahrenheit,IoT Device
SP-1232,92,2022-11-24 19:01:23,32.46,97.23,Fahrenheit,Mobile App
SP-5559,93,2022-08-01 08:46:29,-46.91,85.43,Fahrenheit,Mobile App
SP-5053,94,2022-01-25 13:58:55,-10.53,83.93,Fahrenheit,Mobile App
SP-6438,95,2022-09-29 13:46:10,-43.07,23.53,Celsius,Weather Station
SP-6751,96,2022-05-03 14:00:19,36.07,99.1,Fahrenheit,Mobile App
SP-8256,97,2022-02-25 06:57:40,-22.74,32.19,Celsius,IoT Device
SP-3299,98,2022-11-23 12:30:11,-16.44,81.87,Fahrenheit,IoT Device
SP-2010,99,2022-10-05 16:09:15,20.25,20.82,Celsius,Weather Station
SP-7596,100,2022-02-07 05:47:42,-14.03,87.32,Celsius,Mobile App
SP-2864,101,2022-12-18 14:17:32,-4.9,21.67,Fahrenheit,Weather Station
SP-3711,102,2022-10-06 18:59:19,-23.86,52.88,Celsius,Weather Station
SP-6062,103,2022-01-12 09:27:21,1.75,5.07,Fahrenheit,Mobile App
SP-2195,104,2022-05-31 03:09:53,38.38,43.53,Celsius,Mobile App
SP-8223,105,2022-09-08 07:02:09,-29.58,75.91,Celsius,IoT Device
SP-9751,106,2022-07-15 12:40:55,-24.43,65.17,Fahrenheit,IoT Device
SP-4785,107,2022-02-15 21:08:44,42.97,47.31,Fahrenheit,IoT Device
SP-4515,108,2022-10-08 01:34:40,18.72,25.48,Fahrenheit,IoT Device
SP-3679,109,2022-03-26 05:38:48,-6.72,61.69,Fahrenheit,Weather Station
SP-4039,110,2022-12-13 05:41:42,-34.1,29.18,Fahrenheit,Weather Station
SP-3171,111,2022-01-10 03:56:13,29.15,92.16,Fahrenheit,Weather Station
